"anio","depto","producto","sale_kg","ingresa_kg","total_importado"
2017,"ANTIOQUIA","tomates otros",31521,1040373,-1008852
2017,"ANTIOQUIA","yuca",15488569,15851204,-362635
2017,"ANTIOQUIA","zanahoria",26069101,27845141,-1776040
2018,"ANTIOQUIA","arroz",367770,62827355,-62459585
2018,"ANTIOQUIA","carne de cerdo",4985703,4282513,703190
2018,"ANTIOQUIA","carne de res",6824605.5,6600080,224525.5
2018,"ANTIOQUIA","cebolla cabezona",1681116,28672108,-26990992
2018,"ANTIOQUIA","cebolla junca",4863199,5994392,-1131193
2018,"ANTIOQUIA","cilantro",2503195,2443898,59297
2018,"ANTIOQUIA","fríjol",2590564,6938599,-4348035
2018,"ANTIOQUIA","fríjol verde",8063974,7942093,121881
2018,"ANTIOQUIA","huevo",4922448.06,5875736.22,-953288.16
2018,"ANTIOQUIA","lechuga batavia",14702202,14353268,348934
2018,"ANTIOQUIA","limón común",662315,2474950,-1812635
2018,"ANTIOQUIA","limón mandarino",2293487,2750927,-457440
2018,"ANTIOQUIA","limón tahití",1851380,5783364,-3931984
2018,"ANTIOQUIA","papa capira",45257585,96086775,-50829190
2018,"ANTIOQUIA","papa criolla",13049408,15986100,-2936692
2018,"ANTIOQUIA","papa nevada",5361429,4134724,1226705
2018,"ANTIOQUIA","papa parda pastusa",8500,0,8500
2018,"ANTIOQUIA","papa r-12",75850,1126050,-1050200
2018,"ANTIOQUIA","papa superior",18050,0,18050
2018,"ANTIOQUIA","papa única",358900,34300,324600
2018,"ANTIOQUIA","papas negras otras",3316515,1228900,2087615
2018,"ANTIOQUIA","plátano guineo",3081878,6002110,-2920232
2018,"ANTIOQUIA","plátano hartón verde",36377545,52314368,-15936823
2018,"ANTIOQUIA","plátanos otros",416169,1176143,-759974
2018,"ANTIOQUIA","repollo",16392593,15825463,567130
2018,"ANTIOQUIA","tomate chonto",34417398,31780773,2636625
2018,"ANTIOQUIA","tomate larga vida",67607,235732,-168125
2018,"ANTIOQUIA","tomate riogrande",84200,0,84200
2018,"ANTIOQUIA","tomates otros",88704,649014,-560310
2018,"ANTIOQUIA","yuca",11645822,14332091,-2686269
2018,"ANTIOQUIA","zanahoria",31861875,28831797,3030078
2019,"ANTIOQUIA","arroz",641970,69100520,-68458550
2019,"ANTIOQUIA","carne de cerdo",6322582,4887489,1435093
2019,"ANTIOQUIA","carne de res",6608073,6121423,486650
2019,"ANTIOQUIA","cebolla cabezona",1938737,31893986,-29955249
2019,"ANTIOQUIA","cebolla junca",4938885,6881850,-1942965
2019,"ANTIOQUIA","cilantro",2701869,2669046,32823
2019,"ANTIOQUIA","fríjol",2342820,8462643,-6119823
2019,"ANTIOQUIA","fríjol verde",7933315,7838232,95083
2019,"ANTIOQUIA","huevo",5931173.52,6686487.42,-755313.9
2019,"ANTIOQUIA","lechuga batavia",14532531,16342798,-1810267
2019,"ANTIOQUIA","limón común",654090,2659652,-2005562
