"mes","anio","depto","producto","sale_kg","ingresa_kg","total_importado","fecha"
1,2016,"ANTIOQUIA","Fríjol",0.140355,0.209855,-0.0695,2016-01-01
1,2016,"ANTIOQUIA","Fríjol verde",0.472895,0.458845,0.01405,2016-01-01
1,2016,"ANTIOQUIA","Huevo",0.32144772,0.36218772,-0.04074,2016-01-01
1,2016,"ANTIOQUIA","Lechuga Batavia",0.872966,0.969036,-0.09607,2016-01-01
1,2016,"ANTIOQUIA","Limón Tahití",0.11393,0.48573,-0.3718,2016-01-01
1,2016,"ANTIOQUIA","Limón común",0.0085,0.14545,-0.13695,2016-01-01
1,2016,"ANTIOQUIA","Limón mandarino",0.11632,0.128276,-0.011956,2016-01-01
1,2016,"ANTIOQUIA","Papa capira",4.70948,6.72143,-2.01195,2016-01-01
1,2016,"ANTIOQUIA","Papa criolla",0.79716,0.90877,-0.11161,2016-01-01
1,2016,"ANTIOQUIA","Papa nevada",0.30735,0.22435,0.083,2016-01-01
1,2016,"ANTIOQUIA","Papa parda pastusa",0.001,0,0.001,2016-01-01
1,2016,"ANTIOQUIA","Plátano guineo",0.18592,0.44527,-0.25935,2016-01-01
1,2016,"ANTIOQUIA","Plátano hartón verde",1.7228,4.6667,-2.9439,2016-01-01
1,2016,"ANTIOQUIA","Plátanos otros",0.01,0.0382,-0.0282,2016-01-01
1,2016,"ANTIOQUIA","Repollo",1.2700575,1.34702,-0.0769625,2016-01-01
1,2016,"ANTIOQUIA","Tomate Riogrande",0.01496,0,0.01496,2016-01-01
1,2016,"ANTIOQUIA","Tomate chonto",1.615467,2.341145,-0.725678,2016-01-01
1,2016,"ANTIOQUIA","Tomate larga vida",0.005984,0.008334,-0.00235,2016-01-01
1,2016,"ANTIOQUIA","Tomates otros",0.0035,0.0407,-0.0372,2016-01-01
1,2016,"ANTIOQUIA","Yuca",1.200765,1.187085,0.0136799999999999,2016-01-01
1,2016,"ANTIOQUIA","Zanahoria",1.960795,1.973875,-0.01308,2016-01-01
1,2017,"ANTIOQUIA","Arroz",0.155325,6.848165,-6.69284,2017-01-01
1,2017,"ANTIOQUIA","Carne de cerdo",0.332715,0.308915,0.0238,2017-01-01
1,2017,"ANTIOQUIA","Carne de res",0.511178,0.475178,0.036,2017-01-01
1,2017,"ANTIOQUIA","Cebolla Cabezona",0.015065,2.007321,-1.992256,2017-01-01
1,2017,"ANTIOQUIA","Cebolla junca",0.342924,0.595895,-0.252971,2017-01-01
1,2017,"ANTIOQUIA","Cilantro",0.18288,0.18318,-0.000299999999999995,2017-01-01
1,2017,"ANTIOQUIA","Fríjol",0.21575,0.53935,-0.3236,2017-01-01
1,2017,"ANTIOQUIA","Fríjol verde",0.66848,0.667775,0.000704999999999956,2017-01-01
1,2017,"ANTIOQUIA","Huevo",0.3048264,0.4159464,-0.11112,2017-01-01
1,2017,"ANTIOQUIA","Lechuga Batavia",0.839034,1.132564,-0.29353,2017-01-01
1,2017,"ANTIOQUIA","Limón Tahití",0.10244,0.387158,-0.284718,2017-01-01
1,2017,"ANTIOQUIA","Limón común",0.036585,0.3,-0.263415,2017-01-01
1,2017,"ANTIOQUIA","Limón mandarino",0.12465,0.14405,-0.0194,2017-01-01
1,2017,"ANTIOQUIA","Papa R-12",0.00645,0.144,-0.13755,2017-01-01
1,2017,"ANTIOQUIA","Papa capira",4.28779,10.496607,-6.208817,2017-01-01
1,2017,"ANTIOQUIA","Papa criolla",1.126787,1.171487,-0.0447,2017-01-01
1,2017,"ANTIOQUIA","Papa nevada",0.398545,0.305065,0.09348,2017-01-01
1,2017,"ANTIOQUIA","Papa única",0.003,0,0.003,2017-01-01
1,2017,"ANTIOQUIA","Plátano guineo",0.170225,0.38161,-0.211385,2017-01-01
1,2017,"ANTIOQUIA","Plátano hartón verde",1.968884,4.645106,-2.676222,2017-01-01
1,2017,"ANTIOQUIA","Plátanos otros",0.02546,0.061495,-0.036035,2017-01-01
1,2017,"ANTIOQUIA","Repollo",1.21885,1.266865,-0.0480149999999999,2017-01-01
1,2017,"ANTIOQUIA","Tomate Riogrande",0.0044,0,0.0044,2017-01-01
1,2017,"ANTIOQUIA","Tomate chonto",1.977539,2.53233,-0.554791,2017-01-01
1,2017,"ANTIOQUIA","Tomate larga vida",0.003344,0.008344,-0.005,2017-01-01
1,2017,"ANTIOQUIA","Tomates otros",0.00005,0.07446,-0.07441,2017-01-01
1,2017,"ANTIOQUIA","Yuca",1.314383,1.364122,-0.0497390000000002,2017-01-01
1,2017,"ANTIOQUIA","Zanahoria",1.96526,2.175405,-0.210145,2017-01-01
1,2018,"ANTIOQUIA","Arroz",0.02215,3.8458,-3.82365,2018-01-01
1,2018,"ANTIOQUIA","Carne de cerdo",0.34852,0.31422,0.0343,2018-01-01
1,2018,"ANTIOQUIA","Carne de res",0.58993,0.57493,0.015,2018-01-01
1,2018,"ANTIOQUIA","Cebolla Cabezona",0.123305,1.76198,-1.638675,2018-01-01
1,2018,"ANTIOQUIA","Cebolla junca",0.31321,0.45736,-0.14415,2018-01-01
1,2018,"ANTIOQUIA","Cilantro",0.205399,0.203109,0.00228999999999999,2018-01-01
1,2018,"ANTIOQUIA","Fríjol",0.25839,0.49869,-0.2403,2018-01-01
1,2018,"ANTIOQUIA","Fríjol verde",0.624268,0.628721,-0.00445299999999993,2018-01-01
1,2018,"ANTIOQUIA","Huevo",0.34360302,0.42776802,-0.084165,2018-01-01
1,2018,"ANTIOQUIA","Lechuga Batavia",1.001397,1.127425,-0.126028,2018-01-01
1,2018,"ANTIOQUIA","Limón Tahití",0.12499,0.466482,-0.341492,2018-01-01
1,2018,"ANTIOQUIA","Limón común",0.060445,0.24185,-0.181405,2018-01-01
1,2018,"ANTIOQUIA","Limón mandarino",0.09479,0.12569,-0.0309,2018-01-01
1,2018,"ANTIOQUIA","Papa capira",2.860318,8.035008,-5.17469,2018-01-01
1,2018,"ANTIOQUIA","Papa criolla",0.95414,1.140085,-0.185945,2018-01-01
1,2018,"ANTIOQUIA","Papa nevada",0.42398,0.28608,0.1379,2018-01-01
1,2018,"ANTIOQUIA","Papa parda pastusa",0.002,0,0.002,2018-01-01
1,2018,"ANTIOQUIA","Papa única",0.0256,0,0.0256,2018-01-01
1,2018,"ANTIOQUIA","Papas negras otras",0.026945,0,0.026945,2018-01-01
1,2018,"ANTIOQUIA","Plátano guineo",0.238706,0.487307,-0.248601,2018-01-01
1,2018,"ANTIOQUIA","Plátano hartón verde",1.647922,4.025802,-2.37788,2018-01-01
1,2018,"ANTIOQUIA","Plátanos otros",0.01457,0.11338,-0.09881,2018-01-01
1,2018,"ANTIOQUIA","Repollo",1.32934,1.32049,0.00885000000000002,2018-01-01
1,2018,"ANTIOQUIA","Tomate Riogrande",0.0007,0,0.0007,2018-01-01
1,2018,"ANTIOQUIA","Tomate chonto",2.212434,2.222406,-0.00997199999999987,2018-01-01
1,2018,"ANTIOQUIA","Tomate larga vida",0.008775,0.032694,-0.023919,2018-01-01
1,2018,"ANTIOQUIA","Tomates otros",0.00828,0.0175,-0.00922,2018-01-01
1,2018,"ANTIOQUIA","Yuca",0.887908,1.099714,-0.211806,2018-01-01
1,2018,"ANTIOQUIA","Zanahoria",2.226128,2.17097,0.055158,2018-01-01
1,2019,"ANTIOQUIA","Arroz",0.09226,7.49235,-7.40009,2019-01-01
