"anio","depto","producto","sale_kg","ingresa_kg","total_importado"
2016,"ANTIOQUIA","Tomate chonto",25.365938,30.13893,-4.772992
2016,"ANTIOQUIA","Tomate larga vida",0.108524,0.246696,-0.138172
2016,"ANTIOQUIA","Tomates otros",0.033765,1.210243,-1.176478
2016,"ANTIOQUIA","Yuca",16.152206,16.387719,-0.235513000000001
2016,"ANTIOQUIA","Zanahoria",25.700812,26.974568,-1.273756
2017,"ANTIOQUIA","Arroz",0.51965,70.164865,-69.645215
2017,"ANTIOQUIA","Carne de cerdo",4.061783,3.779433,0.28235
2017,"ANTIOQUIA","Carne de res",6.230292,6.035642,0.19465
2017,"ANTIOQUIA","Cebolla Cabezona",0.274714,23.794063,-23.519349
2017,"ANTIOQUIA","Cebolla junca",4.23076,5.959101,-1.728341
2017,"ANTIOQUIA","Cilantro",2.153233,2.143743,0.00949
2017,"ANTIOQUIA","Fríjol",2.55794,6.11159,-3.55365
2017,"ANTIOQUIA","Fríjol verde",8.053183,8.15825,-0.105067
2017,"ANTIOQUIA","Huevo",3.57792702,4.62352842,-1.0456014
2017,"ANTIOQUIA","Lechuga Batavia",12.07845,13.868577,-1.790127
2017,"ANTIOQUIA","Limón Tahití",1.456567,5.176708,-3.720141
2017,"ANTIOQUIA","Limón común",0.161905,2.51343,-2.351525
2017,"ANTIOQUIA","Limón mandarino",1.758631,2.278766,-0.520135
2017,"ANTIOQUIA","Papa Morasurco",0.00192,0.00192,0
2017,"ANTIOQUIA","Papa R-12",0.01445,1.83705,-1.8226
2017,"ANTIOQUIA","Papa capira",43.13292,110.600031,-67.467111
2017,"ANTIOQUIA","Papa criolla",12.209657,14.755545,-2.545888
2017,"ANTIOQUIA","Papa nevada",4.983435,3.789275,1.19416
2017,"ANTIOQUIA","Papa única",0.02975,0,0.02975
2017,"ANTIOQUIA","Papas negras otras",0.1855,0.1855,0
2017,"ANTIOQUIA","Plátano guineo",2.588626,6.064163,-3.475537
2017,"ANTIOQUIA","Plátano hartón verde",26.360105,56.679178,-30.319073
2017,"ANTIOQUIA","Plátanos otros",0.195765,1.01011,-0.814345
2017,"ANTIOQUIA","Repollo",15.3038235,15.765491,-0.461667499999999
2017,"ANTIOQUIA","Tomate Riogrande",0.086422,0,0.086422
2017,"ANTIOQUIA","Tomate chonto",27.522454,30.261205,-2.738751
2017,"ANTIOQUIA","Tomate larga vida",0.117654,0.215813,-0.098159
2017,"ANTIOQUIA","Tomates otros",0.031521,1.040373,-1.008852
2017,"ANTIOQUIA","Yuca",15.488569,15.851204,-0.362635000000001
2017,"ANTIOQUIA","Zanahoria",26.069101,27.845141,-1.77604
2018,"ANTIOQUIA","Arroz",0.36777,62.827355,-62.459585
2018,"ANTIOQUIA","Carne de cerdo",4.985703,4.282513,0.70319
2018,"ANTIOQUIA","Carne de res",6.8246055,6.60008,0.224525499999999
2018,"ANTIOQUIA","Cebolla Cabezona",1.681116,28.672108,-26.990992
2018,"ANTIOQUIA","Cebolla junca",4.863199,5.994392,-1.131193
2018,"ANTIOQUIA","Cilantro",2.503195,2.443898,0.0592969999999999
2018,"ANTIOQUIA","Fríjol",2.590564,6.938599,-4.348035
2018,"ANTIOQUIA","Fríjol verde",8.063974,7.942093,0.121881
2018,"ANTIOQUIA","Huevo",4.92244806,5.87573622,-0.95328816
2018,"ANTIOQUIA","Lechuga Batavia",14.702202,14.353268,0.348934
2018,"ANTIOQUIA","Limón Tahití",1.85138,5.783364,-3.931984
2018,"ANTIOQUIA","Limón común",0.662315,2.47495,-1.812635
2018,"ANTIOQUIA","Limón mandarino",2.293487,2.750927,-0.45744
2018,"ANTIOQUIA","Papa R-12",0.07585,1.12605,-1.0502
2018,"ANTIOQUIA","Papa capira",45.257585,96.086775,-50.82919
2018,"ANTIOQUIA","Papa criolla",13.049408,15.9861,-2.936692
2018,"ANTIOQUIA","Papa nevada",5.361429,4.134724,1.226705
2018,"ANTIOQUIA","Papa parda pastusa",0.0085,0,0.0085
2018,"ANTIOQUIA","Papa superior",0.01805,0,0.01805
2018,"ANTIOQUIA","Papa única",0.3589,0.0343,0.3246
2018,"ANTIOQUIA","Papas negras otras",3.316515,1.2289,2.087615
2018,"ANTIOQUIA","Plátano guineo",3.081878,6.00211,-2.920232
2018,"ANTIOQUIA","Plátano hartón verde",36.377545,52.314368,-15.936823
2018,"ANTIOQUIA","Plátanos otros",0.416169,1.176143,-0.759974
2018,"ANTIOQUIA","Repollo",16.392593,15.825463,0.567130000000001
2018,"ANTIOQUIA","Tomate Riogrande",0.0842,0,0.0842
2018,"ANTIOQUIA","Tomate chonto",34.417398,31.780773,2.636625
2018,"ANTIOQUIA","Tomate larga vida",0.067607,0.235732,-0.168125
2018,"ANTIOQUIA","Tomates otros",0.088704,0.649014,-0.56031
2018,"ANTIOQUIA","Yuca",11.645822,14.332091,-2.686269
2018,"ANTIOQUIA","Zanahoria",31.861875,28.831797,3.030078
